"Id","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","Target"
11,4,"5","5",NA,506,0,2,"3","17",5,211,"5","6",9246,0,0,0,2,"10",1656,5,"3","2","7",0,NA,"2",NA,"2","6",0,1973,"4","2",0,0,"1","3",1656,NA,"4",87,"4","2","5","2",0,90,"4",-1.14039945283879,"3","2","4",1656,NA,"11","5",2,1973,"1",64,1656,8,"6","2",0,"4",0,0,"5",85488516,564,"9",11,2008,"5","2",0,"3",0,1973,"1","4",135000
12,2,"1","5",NA,520,0,1,"1","12",5,0,"5","2",21750,0,0,0,1,"7",988,5,"1","2","7",0,NA,"3",NA,"2","6",0,1954,"2","2",0,0,"1","2",988,NA,"4",100,"4","2","5","1",0,20,"4",-0.498203925430328,"3","4","4",988,NA,"7","1",2,1954,"4",16,988,4,"6","3",0,"4",0,0,"5",473062500,0,"9",2,2008,"5","2",0,"3",0,1954,"2","4",113000
13,3,"5","5",NA,500,0,1,"1","21",8,50,"5","2",10182,0,0,322,2,"13",1660,5,"3","2","7",0,"3","4",NA,"3","6",1,2006,"4","2",0,0,"1","2",1660,NA,"1",85,"4","2","2","9",1220,20,"3",1488398.40390625,"3","4","3",440,NA,"14","1",2,2006,"1",64,1660,8,"3","2",0,"3",0,1,"5",103673124,420,"7",5,2006,"6","2",0,"3",0,2006,"1","4",290000
14,2,"1","5","1",360,0,1,"1","18",5,0,"5","6",8960,0,0,0,1,"15",1028,6,"3","2","7",0,"3","3",NA,"2","6",1,1927,"4","2",0,0,"1","3",1008,NA,"4",56,"5","2","5","1",0,30,"4",0.666706672643035,"3","2","4",1008,NA,"16","3",2,1950,"4",25,1028,5,"6","1",0,"4",0,0,"5",80281600,0,"9",3,2010,"5","2",130,"3",0,1927,"1","4",115000
15,2,"5","5",NA,430,0,1,"5","1",8,20,"5","2",3182,0,0,146,2,"13",1269,5,"3","2","7",144,"5","2",NA,"3","6",1,2004,"4","2",0,0,"1","1",1256,NA,"3",43,"4","2","5","3",24,120,"3",575.674712849085,"3","2","4",1232,NA,"14","1",2,2005,"4",36,1269,6,"3","1",0,"3",0,0,"5",10125124,16,"9",4,2010,"5","2",0,"3",0,2004,"1","4",192000
16,3,"5","3",NA,504,0,1,"1","8",6,30,"5","2",7917,0,1,370,1,"7",1113,7,"3","2","7",0,"2","2","1","2","6",1,1987,"4","2",0,0,"1","2",1143,NA,"4",NA,"4","2","1","3",751,20,"4",564002.449196791,"3","4","4",392,NA,"7","5",1,1976,"1",36,1113,6,"2","1",0,"4",0,1,"3",62678889,174,"9",5,2007,"5","2",0,"3",0,1976,"1","2",148000
17,3,"5","5",NA,472,0,1,"1","9",6,38,"5","2",9042,695,1,100,2,"13",1638,5,"3","2","7",0,"5","3",NA,"3","6",2,1998,"4","2",0,0,"1","1",943,NA,"3",59,"4","2","5","3",828,60,"4",685585.880070716,"6","2","2",115,NA,"14","3",2,1998,"1",49,943,7,"3","1",0,"4",0,1,"5",81757764,0,"9",7,2008,"5","2",0,"3",0,1998,"1","4",192000
18,3,"5","5",NA,528,0,1,"1","17",7,0,"5","2",9600,0,1,0,1,"7",1242,6,"3","2","7",0,"5","2",NA,"2","6",1,1973,"4","2",0,0,"1","3",1242,NA,"4",80,"4","2","5","3",916,20,"4",839056.442460311,"3","4","4",326,NA,"7","2",2,1973,"4",36,1242,6,"1","3",0,"4",0,0,"5",92160000,320,"9",9,2007,"5","2",0,"3",0,1973,"1","4",175500
19,3,"5","5",NA,550,0,1,"1","6",7,61,"5","2",10667,834,1,158,2,"13",1661,6,"3","2","7",0,"5","3",NA,"3","1",1,1996,"4","2",0,0,"1","2",799,NA,"3",43,"4","2","2","5",385,60,"3",148224.606775511,"6","2","1",70,NA,"14","1",2,1996,"2",36,827,6,"3","3",0,"3",344,1,"5",113784889,0,"5",4,2009,"5","2",0,"3",0,1996,"1","4",212000
20,3,"5","5",NA,336,0,1,"1","19",5,0,"5","6",8521,0,0,0,1,"7",912,5,"3","2","7",0,"2","3","3","2","6",1,1974,"4","2",0,0,"1","3",912,NA,"4",70,"4","2","3","2",842,20,"4",708961.950001859,"3","2","4",70,NA,"7","5",1,1967,"4",25,912,5,"1","2",0,"4",0,0,"5",72607441,0,"9",5,2010,"5","2",0,"3",0,1967,"1","4",125000
21,3,"5","5",NA,565,0,1,"1","6",7,70,"5","2",11645,860,1,0,2,"13",1720,5,"3","2","7",0,NA,"3",NA,"3","6",0,2004,"4","2",0,0,"1","2",860,NA,"3",89,"4","2","1","3",0,60,"3",-1.60663779337494,"6","2","4",860,NA,"14","1",2,2004,"1",49,860,7,"6","3",0,"3",0,0,"5",135606025,0,"9",8,2006,"5","2",0,"3",0,2004,"1","4",196500
22,3,"5","5","1",546,0,1,"1","18",7,0,"2","6",9600,809,1,0,1,"14",1641,7,"3","2","7",0,"3","3",NA,"1","6",1,1925,"4","2",0,0,"1","3",728,NA,"4",60,"5","2","5","3",16,70,"4",254.481495978226,"6","2","4",712,NA,"15","1",2,1990,"4",36,832,6,"4","3",1,"1",0,0,"5",92160000,0,"9",8,2006,"5","2",234,"3",0,1925,"1","2",178000
23,3,"5","5",NA,878,0,1,"1","16",8,52,"5","2",10240,1060,1,192,2,"13",2098,5,"3","2","7",0,"3","2",NA,"3","6",1,2005,"4","2",0,0,"1","2",1030,NA,"3",80,"4","2","5","3",0,60,"3",0.569937118328469,"6","2","3",1030,NA,"14","3",3,2005,"4",64,1038,8,"6","2",0,"1",0,0,"5",104857600,178,"9",3,2006,"5","2",0,"3",0,2005,"1","4",275500
24,3,"5","5",NA,567,0,1,"1","7",7,207,"5","2",17500,0,0,0,2,"4",1902,8,"3","2","7",0,"5","3",NA,"3","6",2,1959,"4","2",0,0,"1","1",1902,NA,"3",100,"4","2","5","4",1406,20,"3",1976835.80566595,"3","2","1",496,NA,"7","5",2,2002,"4",49,1902,7,"3","3",0,"1",0,1,"3",306250000,0,"9",5,2010,"5","2",162,"3",0,1959,"1","4",335000
25,3,"5","5",NA,1356,0,1,"2","12",4,0,"5","1",32463,0,0,439,1,"9",1622,4,"3","2","7",0,"5","4",NA,"2","6",1,1975,"3","2",0,0,"1","1",1249,NA,"4",NA,"4","2","5","3",1159,190,"4",1343281.38995115,"3","2","1",90,NA,"9","1",4,1975,"4",49,1622,7,"2","1",0,"4",0,1,"3",1053846369,149,"9",3,2007,"5","2",0,"3",0,1961,"2","4",168000
26,4,"5","5",NA,852,0,1,"1","16",8,151,"5","4",9591,1330,1,192,2,"13",2473,5,"3","2","7",0,"3","2",NA,"3","6",1,2004,"4","2",0,0,"1","2",1143,NA,"1",76,"4","2","5","3",0,60,"3",1.37635045612467,"6","2","1",1143,NA,"14","1",3,2005,"4",81,1143,9,"6","1",0,"3",0,0,"5",91987281,344,"9",10,2007,"5","2",0,"3",0,2004,"1","4",317000
27,2,"5","5",NA,512,0,1,"1","6",7,120,"5","2",8750,807,1,0,2,"13",1716,5,"3","2","7",0,"5","3",NA,"3","6",1,1996,"4","2",0,0,"1","2",880,NA,"3",70,"4","2","5","3",0,60,"3",-1.87024797169417,"6","2","4",880,NA,"14","1",2,1996,"4",49,909,7,"6","2",0,"3",0,0,"5",76562500,0,"9",7,2009,"5","2",0,"3",0,1996,"1","4",191000
28,1,"5","5",NA,834,0,1,"1","22",9,0,"5","2",11394,0,1,113,1,"13",1856,2,"3","2","7",0,"1","4",NA,"3","6",1,2010,"4","2",0,0,"1","1",1856,NA,"1",88,"4","2","1","3",1445,20,"3",2088023.80424009,"3","4","1",411,NA,"14","1",3,2010,"4",64,1856,8,"3","2",0,"1",0,1,"5",129823236,350,"7",6,2010,"6","2",0,"3",0,2010,"1","4",394432
29,2,"1","5",NA,923,0,1,"1","18",6,158,"5","2",7407,0,0,0,1,"9",1236,7,"3","2","7",0,NA,"3","3","2","6",0,1957,"4","2",0,0,"1","3",912,NA,"4",90,"5","2","5","1",600,20,"4",360000.877470246,"3","2","4",312,NA,"9","5",2,1996,"4",36,1236,6,"3","2",0,"4",0,1,"5",54863649,0,"9",4,2010,"5","2",158,"3",0,1957,"1","4",149700
30,4,"5","5",NA,548,0,1,"1","8",4,0,"5","6",8172,473,0,0,2,"9",1470,6,"3","2","7",156,NA,"3",NA,"3","6",0,1958,"4","2",0,0,"1","3",941,NA,"4",60,"4","2","5","3",0,50,"4",0.606538694019857,"1","2","4",941,NA,"9","1",1,1972,"4",49,997,7,"6","3",0,"4",0,0,"5",66781584,0,"9",5,2008,"5","2",0,"3",0,1954,"1","4",135000
31,3,"5","5",NA,564,0,1,"1","6",7,96,"5","2",12435,829,1,0,2,"13",1792,5,"3","2","7",0,"5","2",NA,"3","6",1,2001,"4","2",0,0,"1","2",963,NA,"3",80,"4","2","5","3",361,60,"3",130319.712452701,"6","2","4",602,NA,"14","1",2,2001,"4",49,963,7,"3","1",0,"3",0,0,"5",154629225,172,"9",5,2008,"5","2",0,"3",245,2001,"1","4",231500
32,3,"5","5",NA,440,0,1,"1","13",6,0,"5","2",9786,649,1,0,1,"14",1734,7,"3","2","7",128,"3","3","1","2","6",1,1962,"1","2",0,0,"1","2",912,NA,"4",77,"4","2","5","3",600,50,"4",359999.932465169,"1","2","4",312,NA,"15","5",2,1981,"1",49,1085,7,"5","2",0,"3",0,0,"5",95765796,0,"9",6,2006,"5","2",0,"3",0,1962,"1","4",159000
33,2,"5","5",NA,244,0,1,"1","13",5,98,"5","2",7800,0,0,0,1,"7",1268,6,"3","2","7",0,"3","2",NA,"3","6",1,1954,"4","2",0,0,"1","1",1268,NA,"4",78,"4","2","5","3",540,20,"4",291597.724602823,"3","2","4",728,NA,"7","3",1,1954,"4",49,1268,7,"4","1",0,"4",0,0,"5",60840000,200,"9",3,2010,"5","2",0,"3",0,1954,"1","4",132000
34,3,"5","5",NA,622,0,1,"1","6",7,45,"5","2",12420,896,1,0,2,"13",1840,5,"3","2","7",0,NA,"3",NA,"3","6",0,2001,"4","2",0,0,"1","2",944,NA,"3",79,"4","2","5","3",666,60,"3",443556.666605344,"6","2","4",278,NA,"14","1",2,2001,"4",36,944,6,"3","3",0,"3",0,1,"5",154256400,0,"9",6,2009,"5","2",0,"3",0,2001,"1","4",230000
35,3,"5","5",NA,234,0,1,"1","7",7,0,"5","2",12000,704,1,0,1,"9",1564,7,"3","2","7",0,"3","3",NA,"2","6",1,1941,"1","2",0,0,"1","3",704,NA,"4",75,"4","2","5","3",275,70,"4",75624.9378767835,"6","2","4",429,NA,"9","1",1,1950,"4",49,860,7,"5","3",0,"2",0,0,"5",1.44e+08,0,"9",7,2009,"5","2",0,"3",0,1941,"1","4",174500
36,3,"5","5",NA,457,0,1,"1","17",6,0,"5","2",9790,0,0,0,2,"4",1342,5,"3","2","7",197,"3","3",NA,"2","4",1,1967,"4","2",0,0,"1","3",1372,NA,"4",NA,"4","2","5","2",251,20,"4",63001.6344848726,"3","2","4",491,NA,"15","5",2,1967,"4",49,1342,7,"5","3",0,"4",630,0,"5",95844100,0,"9",9,2009,"5","2",0,"3",0,1967,"1","4",161500
37,3,"1","5",NA,284,0,1,"1","8",4,0,"5","2",17140,0,0,0,1,"13",1229,6,"3","2","7",0,NA,"3",NA,"2","6",0,1956,"4","2",0,0,"1","2",1134,NA,"4",NA,"4","2","5","3",1059,20,"4",1121480.18229344,"3","2","4",75,NA,"14","1",1,1956,"4",36,1229,6,"1","2",0,"4",0,0,"5",293779600,0,"9",4,2009,"5","2",0,"3",0,1956,"1","4",135000
38,3,"5","5",NA,360,0,1,"1","4",5,0,"5","6",6240,445,0,0,2,"9",1573,7,"2","2","7",0,"3","3",NA,"3","6",1,1930,"4","2",0,0,"1","3",1078,NA,"4",52,"5","2","5","3",0,50,"4",-0.785678191075604,"1","2","4",1078,NA,"9","5",2,1992,"4",64,1128,8,"6","1",0,"4",0,0,"5",38937600,0,"9",6,2008,"5","2",0,"3",0,1930,"1","4",162900
39,3,"5","5",NA,400,0,1,"1","24",7,36,"5","2",13758,530,1,168,2,"7",1717,5,"3","2","7",0,"5","2",NA,"2","6",1,1990,"4","2",0,0,"1","2",1156,NA,"3",44,"4","2","2","3",902,50,"3",813603.148194158,"1","2","3",254,NA,"7","1",2,1991,"1",49,1187,7,"4","1",0,"3",0,0,"3",189282564,117,"9",4,2007,"5","2",0,"3",0,1990,"1","4",187500
40,2,"5","5",NA,526,0,1,"1","13",7,0,"5","2",10628,0,0,0,1,"10",1277,5,"3","2","7",176,"4","3","2","2","6",1,1970,"4","2",0,0,"1","3",1277,NA,"4",85,"4","6","5","3",778,20,"4",605284.856409717,"3","1","2",499,NA,"11","5",2,1970,"4",25,1277,5,"3","1",0,"4",0,1,"3",112954384,0,"9",4,2007,"5","2",0,"3",0,1970,"1","2",167000
41,2,"5",NA,NA,0,0,1,"1","4",3,0,NA,NA,4130,0,0,0,1,"13",729,6,"1","2","2",0,NA,"3",NA,"2","6",0,NA,"4","2",0,0,"1",NA,270,NA,"4",56,"4","2","5","3",0,30,"3",1.35830930190127,"3","2","4",270,NA,"14","3",0,2003,"1",25,729,5,"6","2",0,"4",0,0,"5",17056900,0,"9",7,2008,"5","2",0,"3",0,1935,"1","4",52000
42,3,"5","5",NA,576,0,1,"1","19",5,0,"5","6",7420,0,0,0,1,"9",1057,5,"3","2","7",0,NA,"3",NA,"2","6",0,1977,"4","2",0,0,"1","1",1057,NA,"4",70,"4","2","5","3",417,20,"4",173890.486958532,"3","4","4",640,NA,"9","5",2,1962,"4",36,1057,6,"5","3",0,"4",0,0,"5",55056400,0,"9",4,2007,"5","2",0,"3",0,1962,"1","4",132000
43,3,"5","5",NA,577,0,1,"5","22",7,0,"5","2",5062,900,0,219,2,"7",2090,5,"3","2","3",0,"5","3",NA,"2","4",1,1984,"4","2",0,0,"1","1",1190,NA,"3",NA,"4","2","2","3",828,160,"3",685583.615530466,"6","2","3",180,NA,"7","3",2,1984,"1",36,1190,6,"3","1",0,"3",182,1,"5",25623844,0,"9",9,2007,"5","2",0,"3",0,1984,"1","4",207500
44,3,"5","5",NA,336,0,1,"5","11",5,0,"5","2",2592,576,1,182,1,"6",1112,3,"3","2","7",0,NA,"3",NA,"2","2",0,1976,"4","2",0,0,"1","3",536,NA,"3",36,"5","2","5","3",129,160,"4",16640.6339480107,"6","2","4",175,NA,"6","5",1,1976,"4",16,536,4,"5","3",0,"4",232,0,"5",6718464,0,"9",4,2010,"5","2",0,"3",0,1976,"1","4",85000
45,3,"5","5",NA,528,0,1,"1","17",6,0,"5","2",11040,0,0,55,2,"13",1258,7,"3","2","7",0,NA,"2",NA,"2","6",0,1971,"4","2",0,0,"1","2",1258,NA,"4",80,"4","2","5","3",656,20,"3",430337.489830176,"3","2","4",602,NA,"14","1",2,2004,"4",25,1258,5,"1","2",1,"3",0,0,"3",121881600,144,"1",10,2008,"1","2",0,"3",216,1971,"1","4",145000
46,4,"2","5",NA,240,0,1,"1","10",7,0,"5","6",7758,592,1,0,1,"12",1818,4,"3","2","7",184,"5","2",NA,"3","6",2,1951,"4","2",0,0,"1","3",1040,NA,"4",NA,"5","2","1","3",224,50,"4",50175.4369610414,"1","2","4",816,NA,"13","1",1,1950,"4",49,1226,7,"4","1",0,"4",0,0,"2",60186564,600,"9",6,2007,"5","2",0,"3",0,1931,"1","4",169500
47,2,"1","5",NA,440,0,1,"1","18",6,0,"5","6",4400,384,0,0,1,"12",1118,8,"3","2","7",0,NA,"3",NA,"1","6",0,1990,"4","2",0,0,"1","3",648,NA,"2",40,"5","2","5","3",0,50,"4",1.1816731286151,"1","2","4",648,NA,"13","5",2,1950,"4",36,734,6,"6","3",0,"4",0,0,"5",19360000,0,"9",10,2006,"5","2",0,"3",0,1920,"1","4",116000
48,4,"5",NA,NA,0,0,1,"1","23",5,0,NA,NA,6000,0,0,0,2,"14",1522,5,"2","2","7",0,NA,"3",NA,"1","6",0,NA,"4","2",0,514,"1",NA,1008,NA,"4",60,"4","2","5","3",0,50,"4",1.40259607643101,"1","2","4",1008,NA,"15","1",0,1950,"4",49,1008,7,"6","1",0,"4",0,0,"2",3.6e+07,0,"9",6,2006,"5","2",138,"3",0,1926,"1","4",102000
49,3,"5","5",NA,408,0,1,"1","19",5,0,"5","2",7162,0,0,0,1,"7",904,7,"3","2","7",0,NA,"1","3","3","6",0,1966,"4","2",0,0,"1","3",876,NA,"4",NA,"4","2","5","3",0,20,"4",1.57745925691024,"3","2","4",876,NA,"7","5",1,1966,"1",36,904,6,"6","1",0,"4",0,0,"5",51294244,41,"9",12,2008,"1","2",0,"3",0,1966,"1","4",109900
50,2,"5","5",NA,447,0,1,"1","13",5,0,"5","2",10011,0,0,0,1,"7",1236,6,"3","2","3",0,"2","2","3","2","6",1,1957,"4","2",0,0,"1","3",1070,NA,"4",72,"4","2","5","3",360,20,"4",129599.825575255,"3","2","4",710,NA,"7","5",1,1996,"1",36,1236,6,"2","2",1,"3",0,0,"5",100220121,64,"9",5,2006,"5","2",0,"3",0,1957,"1","4",134450
51,3,"5","5",NA,400,0,1,"1","9",7,24,"5","2",9018,728,1,100,2,"13",1456,5,"3","2","7",0,"3","3",NA,"3","6",1,2007,"4","2",0,0,"1","1",728,NA,"3",65,"4","2","5","3",0,60,"3",-1.9700761304465,"6","4","1",728,NA,"14","1",2,2007,"1",64,728,8,"6","2",0,"3",0,0,"5",81324324,0,"7",7,2007,"6","2",0,"3",0,2007,"1","4",179540
52,4,"1","5",NA,364,0,1,"1","8",5,78,"5","3",8562,0,0,116,1,"7",1526,6,"3","2","4",0,"3","4",NA,"2","6",1,1957,"4","2",0,0,"1","3",1216,NA,"4",68,"4","2","5","3",383,20,"4",146688.191834893,"3","4","1",833,NA,"7","1",1,2002,"4",49,1526,7,"5","3",0,"4",0,0,"5",73307844,145,"9",5,2010,"5","2",0,"3",0,1957,"2","4",144500
53,3,"5","5",NA,463,0,1,"1","20",7,130,"5","2",8880,888,1,0,2,"13",2110,5,"3","2","7",0,"2","3",NA,"3","6",2,1994,"4","2",0,0,"1","2",948,NA,"3",NA,"4","2","5","3",695,60,"3",483024.709145866,"6","2","4",253,NA,"14","1",2,2002,"1",64,1222,8,"3","2",0,"3",0,1,"5",78854400,0,"9",5,2010,"5","2",0,"3",0,1994,"1","4",205000
54,3,"5","5",NA,493,0,1,"1","6",7,68,"5","2",8935,829,1,144,2,"13",1660,5,"3","2","7",0,NA,"2",NA,"3","6",0,2002,"4","2",0,0,"1","2",831,NA,"3",68,"4","2","5","3",0,60,"3",1.24691936791463,"6","2","4",831,NA,"14","1",2,2002,"1",49,831,7,"6","3",0,"3",0,0,"5",79834225,95,"9",7,2009,"5","2",0,"3",0,2002,"1","4",195000
55,3,"5","5",NA,462,400,1,"1","20",6,104,"5","2",11218,790,1,635,2,"14",1845,5,"3","2","7",0,"5","3","1","3","6",1,1992,"4","2",0,0,"1","2",1055,"3","3",70,"4","2","5","3",0,60,"3",1.4830436507598,"6","2","4",1055,NA,"15","1",2,1992,"4",64,1055,8,"6","1",0,"3",0,0,"5",125843524,0,"9",5,2010,"5","2",0,"3",0,1992,"1","4",189000
56,3,"5","5",NA,641,0,1,"1","22",10,0,"5","4",13682,1519,1,192,3,"13",2945,5,"3","2","7",0,"3","2",NA,"3","6",1,2006,"2","2",0,0,"1","1",1410,NA,"1",66,"4","2","2","3",0,60,"1",-1.84697144411395,"6","4","2",1410,NA,"14","1",3,2006,"2",100,1426,10,"6","1",0,"3",0,0,"5",187197124,1031,"7",10,2006,"6","2",37,"3",0,2006,"1","4",438780
57,2,"5","5",NA,648,0,1,"5","1",7,16,"5","2",3922,0,0,144,2,"15",1258,5,"3","2","7",0,"3","2",NA,"3","6",1,2007,"4","2",0,0,"1","1",1258,NA,"1",53,"4","2","5","3",0,120,"3",1.52268566880501,"3","2","1",1258,NA,"16","1",3,2007,"4",36,1258,6,"6","2",0,"3",0,0,"5",15382084,72,"7",6,2007,"6","2",0,"3",0,2006,"1","4",172500
58,3,"5","5",NA,294,0,1,"1","13",5,0,"5","2",7560,0,0,0,1,"4",1339,6,"3","2","3",0,NA,"3","3","2","6",0,1958,"4","2",0,0,"1","3",1029,NA,"4",70,"4","2","5","3",504,20,"4",254015.893941124,"3","4","4",525,NA,"11","5",1,1965,"4",36,1339,6,"4","3",0,"4",0,0,"5",57153600,0,"1",5,2009,"1","2",0,"3",0,1958,"1","4",139000
59,2,"5","5",NA,484,0,1,"5","16",7,30,"5","2",8198,0,0,192,2,"13",1358,5,"3","2","7",0,"3","4",NA,"3","6",1,2004,"4","2",0,0,"1","2",1358,NA,"3",59,"5","2","4","3",720,120,"3",518399.953439371,"3","2","1",638,NA,"14","1",2,2004,"4",36,1358,6,"3","1",0,"3",0,1,"5",67207204,146,"9",7,2008,"5","2",0,"3",0,2004,"1","4",207000
60,3,"5","5",NA,240,0,1,"2","8",5,48,"5","6",10880,0,0,0,1,"9",1164,5,"3","1","7",0,NA,"3",NA,"2","6",0,1950,"4","2",0,0,"1","3",1164,NA,"4",68,"4","2","5","3",1040,190,"4",1081600.33203771,"3","2","4",124,NA,"9","5",1,1950,"4",25,1164,5,"1","1",0,"4",0,1,"5",118374400,0,"3",8,2008,"5","3",0,"3",0,1950,"1","4",125000
61,3,"5","5",NA,576,0,1,"1","24",6,0,"5","2",11457,0,0,0,2,"7",1412,5,"3","2","7",0,"5","3",NA,"2","6",1,1988,"4","2",0,0,"1","3",1392,NA,"3",130,"4","2","1","3",1005,20,"4",1010025.31678046,"3","2","3",387,NA,"7","5",2,1988,"1",36,1412,6,"3","1",0,"3",0,1,"5",131262849,0,"9",3,2009,"5","2",169,"3",0,1988,"1","4",175000
62,3,"5","5","1",936,0,1,"1","18",3,0,"5","6",10410,520,0,216,1,"14",1214,4,"3","2","7",0,NA,"3","3","3","6",0,1998,"4","2",0,0,"1","3",672,NA,"4",60,"4","2","1","1",0,50,"4",-1.26566195500772,"1","2","4",672,NA,"15","5",3,1950,"4",36,694,6,"6","2",0,"4",0,0,"5",108368100,0,"9",1,2006,"4","2",160,"3",0,1915,"1","4",105000
63,2,"5","5",NA,360,0,1,"1","12",4,0,"5","6",7599,0,0,0,1,"7",845,6,"3","2","7",0,NA,"3",NA,"2","6",0,1987,"4","2",0,0,"1","3",845,NA,"4",69,"4","2","1","3",565,20,"4",319224.59556692,"3","2","4",280,NA,"11","5",2,2006,"4",16,845,4,"1","1",0,"4",0,1,"5",57744801,0,"9",6,2007,"5","2",0,"3",0,1982,"1","4",129500
